customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Contas_Diarias,escala_customer_tenure,escala_account_Charges_Monthly,escala_account_Charges_Total,escala_Contas_Diarias
0023-XUOPT,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,1215.6,3.09,0-20,81-100,1001-1500,3.0-3.5
0027-KWYKW,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,1849.95,2.75,21-30,81-100,1501-2000,2.5-3.0
0030-FNXPP,no,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,57.2,0.65,0-20,0-20,0-500,0.5-1.0
0031-PVLZI,yes,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,76.35,0.67,0-20,21-40,0-500,0.5-1.0
0032-PGELS,yes,female,0,yes,yes,1,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),30.5,30.5,1.0,0-20,21-40,0-500,0.5-1.0
0036-IHMOT,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),103.7,5656.75,3.41,51-60,101-120,5501-6000,3.0-3.5
0040-HALCW,no,male,0,yes,yes,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.4,1090.6,0.67,51-60,21-40,1001-1500,0.5-1.0
0042-JVWOJ,no,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.6,471.85,0.64,21-30,0-20,0-500,0.5-1.0
0042-RLHYP,no,female,0,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.7,1396.9,0.65,61-70,0-20,1001-1500,0.5-1.0
0048-LUMLS,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3247.55,3.0,31-40,81-100,3001-3500,2.5-3.0
0048-PIHNL,no,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.45,900.9,0.67,41-50,21-40,501-1000,0.5-1.0
0052-DCKON,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),115.8,7942.15,3.8,61-70,101-120,7501-8000,3.5-4.0
0052-YNYOT,no,female,0,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.55,1343.4,0.68,61-70,21-40,1001-1500,0.5-1.0
0056-EPFBG,no,male,0,yes,yes,20,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,825.4,1.29,0-20,21-40,501-1000,1.0-1.5
0057-QBUQH,no,female,0,no,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,25.1,1070.15,0.82,41-50,21-40,1001-1500,0.5-1.0
0058-EVZWM,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.8,4959.6,2.95,51-60,81-100,4501-5000,2.5-3.0
0060-FUALY,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65,3.11,51-60,81-100,5501-6000,3.0-3.5
0064-SUDOG,no,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.3,224.5,0.67,0-20,21-40,0-500,0.5-1.0
0064-YIJGF,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,1929.0,2.49,21-30,61-80,1501-2000,2.0-2.5
0067-DKWBL,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,91.1,1.62,0-20,41-60,0-500,1.5-2.0
0068-FIGTF,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95,2.57,21-30,61-80,2001-2500,2.5-3.0
0071-NDAFP,no,male,0,yes,yes,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.5,630.6,0.84,21-30,21-40,501-1000,0.5-1.0
0074-HDKDG,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer (automatic),61.6,1611.0,2.02,21-30,61-80,1501-2000,2.0-2.5
0076-LVEPS,no,male,0,no,yes,29,no,no phone service,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1242.45,1.48,21-30,41-60,1001-1500,1.0-1.5
0078-XZMHT,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,6316.2,2.8,71-80,81-100,6001-6500,2.5-3.0
0080-EMYVY,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),51.45,727.85,1.69,0-20,41-60,501-1000,1.5-2.0
0080-OROZO,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3532.0,3.26,31-40,81-100,3501-4000,3.0-3.5
0082-LDZUE,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3,1.46,0-20,41-60,0-500,1.0-1.5
0082-OQIQY,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,2607.6,3.09,21-30,81-100,2501-3000,3.0-3.5
0083-PIVIK,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,5567.55,2.67,61-70,81-100,5501-6000,2.5-3.0
0089-IIQKO,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),99.95,3767.4,3.28,31-40,81-100,3501-4000,3.0-3.5
0093-EXYQL,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,3.01,31-40,81-100,3501-4000,3.0-3.5
0093-XWZFY,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,4036.85,3.43,31-40,101-120,4001-4500,3.0-3.5
0094-OIFMO,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3,3.12,0-20,81-100,1001-1500,3.0-3.5
0096-BXERS,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,314.55,1.65,0-20,41-60,0-500,1.5-2.0
0096-FCPUF,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45,2.12,21-30,61-80,1501-2000,2.0-2.5
0098-BOWSO,no,male,0,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.4,529.8,0.64,21-30,0-20,501-1000,0.5-1.0
0100-DUVFC,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,7308.95,3.44,61-70,101-120,7001-7500,3.0-3.5
0103-CSITQ,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.4,6252.7,3.59,51-60,101-120,6001-6500,3.5-4.0
0104-PPXDV,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card (automatic),50.3,2878.55,1.65,51-60,41-60,2501-3000,1.5-2.0
0106-GHRQR,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),71.4,1212.1,2.35,0-20,61-80,1001-1500,2.0-2.5
0106-UGRDO,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,8182.85,3.81,61-70,101-120,> 8000,3.5-4.0
0107-WESLM,yes,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.85,19.85,0.65,0-20,0-20,0-500,0.5-1.0
0107-YHINA,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,99.75,3.28,0-20,81-100,0-500,3.0-3.5
0111-KLBQG,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45,3.09,31-40,81-100,2501-3000,3.0-3.5
0112-QAWRZ,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),90.8,1442.2,2.98,0-20,81-100,1001-1500,2.5-3.0
0112-QWPNC,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,4059.35,2.77,41-50,81-100,4001-4500,2.5-3.0
0114-IGABW,no,female,0,yes,no,71,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),58.25,4145.9,1.91,71-80,41-60,4001-4500,1.5-2.0
0114-PEGZZ,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3645.5,3.53,31-40,101-120,3501-4000,3.5-4.0
0114-RSRRW,no,female,0,yes,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.95,187.75,0.66,0-20,0-20,0-500,0.5-1.0
0115-TFERT,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,2317.1,3.65,21-30,101-120,2001-2500,3.5-4.0
0117-LFRMW,yes,male,0,yes,yes,37,no,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1448.8,1.32,31-40,41-60,1001-1500,1.0-1.5
0118-JPNOY,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.8,2193.65,2.82,21-30,81-100,2001-2500,2.5-3.0
0121-SNYRK,no,male,0,no,no,50,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9,1.16,41-50,21-40,1501-2000,1.0-1.5
0122-OAHPZ,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,2.43,0-20,61-80,501-1000,2.0-2.5
0123-CRBRT,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,5526.75,2.89,61-70,81-100,5501-6000,2.5-3.0
0125-LZQXK,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,1553.95,3.33,0-20,101-120,1501-2000,3.0-3.5
0128-MKWSG,no,female,0,no,yes,26,no,no phone service,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1147.0,1.5,21-30,41-60,1001-1500,1.0-1.5
0129-KPTWJ,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,6747.35,3.11,71-80,81-100,6501-7000,3.0-3.5
0129-QMPDR,no,male,0,yes,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.5,865.05,0.67,41-50,21-40,501-1000,0.5-1.0
0130-SXOUN,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card (automatic),89.4,5976.9,2.94,61-70,81-100,5501-6000,2.5-3.0
0133-BMFZO,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,181.65,2.83,0-20,81-100,0-500,2.5-3.0
0134-XWXCE,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,3268.05,2.46,41-50,61-80,3001-3500,2.0-2.5
0135-NMXAP,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.75,1052.4,2.95,0-20,81-100,1001-1500,2.5-3.0
0136-IFMYD,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,7634.25,3.61,61-70,101-120,7501-8000,3.5-4.0
0137-OCGAB,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,80.2,2.63,0-20,81-100,0-500,2.5-3.0
0137-UDEUO,yes,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,63.75,0.65,0-20,0-20,0-500,0.5-1.0
0139-IVFJG,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5,2.97,0-20,81-100,0-500,2.5-3.0
0141-YEAYS,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),86.45,2401.05,2.84,21-30,81-100,2001-2500,2.5-3.0
0142-GVYSN,no,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.3,511.25,0.67,21-30,21-40,501-1000,0.5-1.0
0147-ESWWR,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3949.15,3.33,31-40,101-120,3501-4000,3.0-3.5
0148-DCDOS,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),94.7,2362.1,3.11,21-30,81-100,2001-2500,3.0-3.5
0151-ONTOV,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9,2.33,0-20,61-80,0-500,2.0-2.5
0156-FVPTA,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7,1.78,21-30,41-60,1001-1500,1.5-2.0
0164-APGRB,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,8496.7,3.77,71-80,101-120,> 8000,3.5-4.0
0164-XAIRP,no,female,0,no,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.55,470.2,0.64,21-30,0-20,0-500,0.5-1.0
0168-XZKBB,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,1564.4,2.85,0-20,81-100,1501-2000,2.5-3.0
0174-QRVVY,no,male,0,yes,yes,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.35,1847.55,0.83,71-80,21-40,1501-2000,0.5-1.0
0177-PXBAT,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3694.7,3.61,31-40,101-120,3501-4000,3.5-4.0
0178-CIIKR,no,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,58.0,0.66,0-20,0-20,0-500,0.5-1.0
0178-SZBHO,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,4017.45,2.86,41-50,81-100,4001-4500,2.5-3.0
0181-RITDD,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,6825.65,3.55,61-70,101-120,6501-7000,3.5-4.0
0186-CAERR,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),116.3,8309.55,3.82,71-80,101-120,> 8000,3.5-4.0
0187-QSXOE,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,605.45,2.92,0-20,81-100,501-1000,2.5-3.0
0187-WZNAB,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,1972.35,2.44,21-30,61-80,1501-2000,2.0-2.5
0188-GWFLE,no,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,33.7,0.66,0-20,21-40,0-500,0.5-1.0
0191-EQUUH,no,female,0,no,yes,25,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),35.05,844.45,1.15,21-30,21-40,501-1000,1.0-1.5
0191-ZHSKZ,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,2.46,21-30,61-80,2001-2500,2.0-2.5
0193-ESZXP,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.5,6205.5,3.47,51-60,101-120,6001-6500,3.0-3.5
0195-IESCP,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,855.3,2.8,0-20,81-100,501-1000,2.5-3.0
0196-JTUQI,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,633.85,2.47,0-20,61-80,501-1000,2.0-2.5
0196-VULGZ,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9,2.77,0-20,81-100,0-500,2.5-3.0
0197-PNKNK,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,5848.6,2.77,61-70,81-100,5501-6000,2.5-3.0
0201-MIBOL,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer (automatic),102.4,6471.85,3.36,61-70,101-120,6001-6500,3.0-3.5
0201-OAMXR,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),115.55,8127.6,3.8,61-70,101-120,> 8000,3.5-4.0
0203-HHYIJ,yes,male,0,no,no,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),25.3,676.35,0.83,21-30,21-40,501-1000,0.5-1.0
0206-OYVOC,no,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.25,864.2,0.63,41-50,0-20,501-1000,0.5-1.0
0206-TBWLC,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,3.77,51-60,101-120,6001-6500,3.5-4.0
0207-MDKNV,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,1582.75,3.45,0-20,101-120,1501-2000,3.0-3.5
0208-BPQEJ,no,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.4,198.1,0.64,0-20,0-20,0-500,0.5-1.0
0212-ISBBF,no,female,0,no,no,22,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85,1.65,21-30,41-60,1001-1500,1.5-2.0
0214-JHPFW,no,female,0,yes,no,70,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),57.8,4039.3,1.9,61-70,41-60,4001-4500,1.5-2.0
0215-BQKGS,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),84.3,2438.6,2.77,21-30,81-100,2001-2500,2.5-3.0
0218-QNVAS,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),100.55,7113.75,3.3,71-80,101-120,7001-7500,3.0-3.5
0219-QAERP,no,male,0,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.8,576.65,0.65,21-30,0-20,501-1000,0.5-1.0
0219-YTZUE,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,371.9,2.79,0-20,81-100,0-500,2.5-3.0
0220-EBGCE,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,167.3,2.82,0-20,81-100,0-500,2.5-3.0
0221-NAUXK,no,male,0,no,yes,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.95,219.5,0.66,0-20,0-20,0-500,0.5-1.0
0221-WMXNQ,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,273.4,2.48,0-20,61-80,0-500,2.0-2.5
0222-CNVPT,no,male,1,no,no,52,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),48.8,2555.05,1.6,51-60,41-60,2501-3000,1.5-2.0
0224-HJAPT,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,223.15,1.55,0-20,41-60,0-500,1.5-2.0
0224-NIJLP,no,male,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.15,165.5,0.66,0-20,21-40,0-500,0.5-1.0
0224-RLWWD,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3,1.46,0-20,41-60,0-500,1.0-1.5
0225-ZORZP,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,235.05,2.77,0-20,81-100,0-500,2.5-3.0
0228-MAUWC,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6,1.96,0-20,41-60,1001-1500,1.5-2.0
0229-LFJAF,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.65,4908.25,2.29,71-80,61-80,4501-5000,2.0-2.5
